id,usaf,wban,stname,ctry,fips,state,call,lat,lon,elev,count,max,min,obs
011430-99999,011430,99999,DRAG-AJLUOKTA,NO,NO,,,68.05,16.082,19.0,3,2009,2007,689
011440-99999,011440,99999,HELLIGVAER II,NO,NO,,,67.667,13.9,24.0,5,2009,2005,1567
011450-99999,011450,99999,KVALNES I LOFOTEN,NO,NO,,,68.35,13.967,15.0,3,1981,1978,3
011470-99999,011470,99999,VARNTRESK,NO,NO,,,65.75,14.183,406.0,4,2007,1940,462
011490-99999,011490,99999,RANA-BASMOEN,NO,NO,,,66.333,14.1,42.0,28,2007,1973,6748
011510-99999,011510,99999,MO I RANA/ROSSVOLL,NO,NO,,ENRA,66.367,14.3,70.0,29,2009,1974,8957
011520-99999,011520,99999,BODO VI,NO,NO,,ENBO,67.267,14.367,13.0,48,2009,1940,17063
011540-99999,011540,99999,LITLOY FYR,NO,NO,,,68.583,14.3,30.0,10,2003,1994,1803
011550-99999,011550,99999,BO I VESTERALEN II,NO,NO,,,68.633,14.467,12.0,19,1993,1973,556
011560-99999,011560,99999,BO I VESTERALEN,NO,NO,,,68.6,14.433,8.0,6,2009,2004,1735
011600-99999,011600,99999,SKROVA FYR,NO,NO,,,68.15,14.65,11.0,37,2009,1973,13168
011610-99999,011610,99999,SVOLVAER/HELLE,NO,NO,,ENSH,68.25,14.667,9.0,29,2009,1975,8905
011620-99999,011620,99999,STORKMARKNES/SKAGEN,NO,NO,,ENSK,68.583,15.017,3.0,29,2009,1975,8828
011650-99999,011650,99999,GROTOY,NO,NO,,,67.833,14.783,6.0,6,1978,1973,1548
011670-99999,011670,99999,SORTLAND,NO,NO,,,68.7,15.417,3.0,25,2009,1985,8858
011680-99999,011680,99999,KLEIVA I SORTLAND,NO,NO,,,68.65,15.283,23.0,4,1990,1986,8
011690-99999,011690,99999,SALTDAL,NO,NO,,,66.85,15.317,81.0,3,1992,1986,4
011700-99999,011700,99999,FAUSKE-VETEN,NO,NO,,,67.233,15.317,165.0,2,1986,1985,3
011720-99999,011720,99999,FINNOY I HAMAROY,NO,NO,,,68.0,15.617,53.0,7,1992,1986,13
011800-99999,011800,99999,HARSTAD,NO,NO,,,68.8,16.533,45.0,6,2009,2004,1698
011820-99999,011820,99999,EVENSKJER,NO,NO,,,68.583,16.583,7.0,2,1985,1983,2
011830-99999,011830,99999,EVENES,NO,NO,,ENEV,68.517,16.683,26.0,35,2009,1975,11917
011840-99999,011840,99999,SANDSOY I SENJA,NO,NO,,,68.933,16.683,45.0,5,1977,1973,661
011910-99999,011910,99999,SKJOMEN-SLETTJORD,NO,NO,,,68.283,17.317,6.0,9,1989,1975,12
011930-99999,011930,99999,NARVIK/FRAMNES,NO,NO,,,68.433,17.4,30.0,1,2007,2007,7
011940-99999,011940,99999,NARVIK III,NO,NO,,ENNK,68.467,17.5,23.0,26,2005,1973,7231
011960-99999,011960,99999,TENNEVOLL,NO,NO,,,68.75,17.817,21.0,4,1983,1978,5
011990-99999,011990,99999,SIHCCAJAVRI,NO,NO,,,68.75,23.533,382.0,33,2006,1973,6723
012030-99999,012030,99999,KRAKENES,NO,NO,,,62.033,4.983,41.0,21,2009,1973,2352
012050-99999,012050,99999,HJELVIK-MYRBO,NO,NO,,,62.617,7.233,35.0,37,2009,1973,13307
012090-99999,012090,99999,ORSTA-VOLDA/HOVDEN,NO,NO,,ENOV,62.183,6.067,74.0,26,2009,1984,8432
012091-99999,012091,99999,ORSTA-VOLDA/HOVD,NO,NO,,ENOV,62.183,6.05,74.0,1,1984,1984,10
012100-99999,012100,99999,ALESUND/VIGRA,NO,NO,,ENAL,62.567,6.117,22.0,37,2009,1973,13263
012120-99999,012120,99999,ONA II,NO,NO,,,62.867,6.533,15.0,40,2009,1955,13088
012140-99999,012140,99999,REKDAL,NO,NO,,,62.65,6.767,43.0,1,2009,2009,178
012150-99999,012150,99999,HJELVIK MYRBO,NO,NO,,,62.617,7.233,35.0,15,1987,1973,4302
012160-99999,012160,99999,HJELVIK I ROMSDAL,NO,NO,,,62.617,7.217,16.0,9,1992,1978,1180
012170-99999,012170,99999,MOLDE/ARO,NO,NO,,ENML,62.75,7.267,3.0,34,2009,1976,12065
012180-99999,012180,99999,TAFJORD,NO,NO,,,62.233,7.417,17.0,37,2009,1973,10513
012210-99999,012210,99999,TAGDALEN,NO,NO,,,63.05,9.083,415.0,2,2009,2008,540
012230-99999,012230,99999,KRISTIANSUND/KVERNB,NO,NO,,ENKB,63.117,7.833,62.0,37,2009,1973,13167
012240-99999,012240,99999,SKALMEN FYR,NO,NO,,,63.467,7.75,13.0,19,2009,1985,5388
